--- TRADE LOG ---
2015-09-22 13:55:00+05:30 → 2015-09-29 09:15:00+05:30 | BUY | Entry: ₹7869.6 | Exit: ₹7712.1 | PnL: ₹-100.08 | Return: -2.0% | Capital Left: ₹50577.87
2015-09-29 09:30:00+05:30 → 2015-10-28 13:25:00+05:30 | BUY | Entry: ₹7718.1 | Exit: ₹8155.1 | PnL: ₹283.09 | Return: 5.66% | Capital Left: ₹50860.96
2015-10-28 14:00:00+05:30 → 2015-11-02 11:30:00+05:30 | BUY | Entry: ₹8169.65 | Exit: ₹8013.75 | PnL: ₹-95.41 | Return: -1.91% | Capital Left: ₹50765.55
2015-11-02 11:45:00+05:30 → 2015-11-05 15:25:00+05:30 | BUY | Entry: ₹8014.7 | Exit: ₹7947.95 | PnL: ₹-41.65 | Return: -0.83% | Capital Left: ₹50723.9
2015-11-06 09:20:00+05:30 → 2015-11-20 10:45:00+05:30 | SHORT | Entry: ₹7993.55 | Exit: ₹7872.95 | PnL: ₹75.44 | Return: 1.51% | Capital Left: ₹50799.34
2015-11-20 10:50:00+05:30 → 2015-12-16 09:35:00+05:30 | SHORT | Entry: ₹7874.4 | Exit: ₹7731.1 | PnL: ₹91.0 | Return: 1.82% | Capital Left: ₹50890.33
2015-12-16 09:45:00+05:30 → 2015-12-28 09:15:00+05:30 | SHORT | Entry: ₹7724.8 | Exit: ₹7885.85 | PnL: ₹-104.25 | Return: -2.08% | Capital Left: ₹50786.09
2015-12-28 09:25:00+05:30 → 2016-01-14 13:10:00+05:30 | SHORT | Entry: ₹7889.8 | Exit: ₹7579.3 | PnL: ₹196.76 | Return: 3.94% | Capital Left: ₹50982.85
2016-01-14 14:55:00+05:30 → 2016-01-18 09:55:00+05:30 | BUY | Entry: ₹7535.85 | Exit: ₹7400.6 | PnL: ₹-89.74 | Return: -1.79% | Capital Left: ₹50893.11
2016-01-18 10:30:00+05:30 → 2016-01-20 09:20:00+05:30 | BUY | Entry: ₹7418.1 | Exit: ₹7307.65 | PnL: ₹-74.44 | Return: -1.49% | Capital Left: ₹50818.67
2016-01-20 09:45:00+05:30 → 2016-01-22 10:50:00+05:30 | SHORT | Entry: ₹7304.25 | Exit: ₹7390.8 | PnL: ₹-59.24 | Return: -1.18% | Capital Left: ₹50759.43
2016-01-22 11:25:00+05:30 → 2016-01-29 14:35:00+05:30 | SHORT | Entry: ₹7409.1 | Exit: ₹7546.1 | PnL: ₹-92.45 | Return: -1.85% | Capital Left: ₹50666.98
2016-01-29 14:45:00+05:30 → 2016-02-08 11:00:00+05:30 | SHORT | Entry: ₹7541.4 | Exit: ₹7505.5 | PnL: ₹23.8 | Return: 0.48% | Capital Left: ₹50690.78
2016-02-08 11:45:00+05:30 → 2016-02-12 14:45:00+05:30 | SHORT | Entry: ₹7495.4 | Exit: ₹7029.3 | PnL: ₹310.94 | Return: 6.22% | Capital Left: ₹51001.72
2016-02-12 15:00:00+05:30 → 2016-02-17 09:15:00+05:30 | BUY | Entry: ₹6987.3 | Exit: ₹7025.25 | PnL: ₹27.16 | Return: 0.54% | Capital Left: ₹51028.87
2016-02-17 09:25:00+05:30 → 2016-02-23 15:15:00+05:30 | BUY | Entry: ₹7027.75 | Exit: ₹7103.4 | PnL: ₹53.82 | Return: 1.08% | Capital Left: ₹51082.7
2016-02-24 09:35:00+05:30 → 2016-02-29 12:55:00+05:30 | SHORT | Entry: ₹7059.2 | Exit: ₹7020.4 | PnL: ₹27.48 | Return: 0.55% | Capital Left: ₹51110.18
2016-02-29 13:00:00+05:30 → 2016-03-01 09:45:00+05:30 | SHORT | Entry: ₹7041.5 | Exit: ₹7127.3 | PnL: ₹-60.93 | Return: -1.22% | Capital Left: ₹51049.25
2016-03-01 09:55:00+05:30 → 2016-03-16 11:35:00+05:30 | BUY | Entry: ₹7135.55 | Exit: ₹7419.1 | PnL: ₹198.68 | Return: 3.97% | Capital Left: ₹51247.94
2016-03-16 11:40:00+05:30 → 2016-04-05 15:00:00+05:30 | BUY | Entry: ₹7412.65 | Exit: ₹7618.15 | PnL: ₹138.61 | Return: 2.77% | Capital Left: ₹51386.55
2016-04-05 15:20:00+05:30 → 2016-04-12 09:15:00+05:30 | SHORT | Entry: ₹7596.3 | Exit: ₹7681.35 | PnL: ₹-55.98 | Return: -1.12% | Capital Left: ₹51330.57
2016-04-12 09:25:00+05:30 → 2016-04-13 10:35:00+05:30 | SHORT | Entry: ₹7688.8 | Exit: ₹7840.05 | PnL: ₹-98.36 | Return: -1.97% | Capital Left: ₹51232.21
2016-04-13 10:45:00+05:30 → 2016-04-27 10:15:00+05:30 | SHORT | Entry: ₹7838.3 | Exit: ₹7983.6 | PnL: ₹-92.69 | Return: -1.85% | Capital Left: ₹51139.52
2016-04-27 10:25:00+05:30 → 2016-05-09 11:00:00+05:30 | SHORT | Entry: ₹7981.2 | Exit: ₹7838.45 | PnL: ₹89.43 | Return: 1.79% | Capital Left: ₹51228.95
2016-05-09 11:05:00+05:30 → 2016-05-17 12:45:00+05:30 | SHORT | Entry: ₹7839.15 | Exit: ₹7932.85 | PnL: ₹-59.76 | Return: -1.2% | Capital Left: ₹51169.19
2016-05-17 13:15:00+05:30 → 2016-05-25 11:40:00+05:30 | SHORT | Entry: ₹7923.05 | Exit: ₹7877.65 | PnL: ₹28.65 | Return: 0.57% | Capital Left: ₹51197.84
2016-05-25 12:40:00+05:30 → 2016-05-26 15:00:00+05:30 | SHORT | Entry: ₹7886.05 | Exit: ₹8059.35 | PnL: ₹-109.87 | Return: -2.2% | Capital Left: ₹51087.97
2016-05-27 09:25:00+05:30 → 2016-06-07 12:40:00+05:30 | SHORT | Entry: ₹8113.7 | Exit: ₹8274.45 | PnL: ₹-99.05 | Return: -1.98% | Capital Left: ₹50988.92
2016-06-07 12:45:00+05:30 → 2016-06-20 12:45:00+05:30 | SHORT | Entry: ₹8284.65 | Exit: ₹8229.2 | PnL: ₹33.46 | Return: 0.67% | Capital Left: ₹51022.38
2016-06-20 12:55:00+05:30 → 2016-06-24 15:05:00+05:30 | SHORT | Entry: ₹8217.8 | Exit: ₹8093.3 | PnL: ₹75.75 | Return: 1.52% | Capital Left: ₹51098.13
2016-06-24 15:10:00+05:30 → 2016-08-03 15:15:00+05:30 | BUY | Entry: ₹8089.35 | Exit: ₹8535.65 | PnL: ₹275.86 | Return: 5.52% | Capital Left: ₹51373.99
2016-08-04 09:40:00+05:30 → 2016-08-08 09:15:00+05:30 | SHORT | Entry: ₹8543.9 | Exit: ₹8711.0 | PnL: ₹-97.79 | Return: -1.96% | Capital Left: ₹51276.2
2016-08-08 09:55:00+05:30 → 2016-08-30 14:15:00+05:30 | SHORT | Entry: ₹8717.85 | Exit: ₹8720.35 | PnL: ₹-1.43 | Return: -0.03% | Capital Left: ₹51274.76
